STRIKE,2014-04-18,2014-05-16,2014-06-20,2014-07-18,2014-08-15,2014-09-19,2014-10-17,2014-11-21
13.0,1.0971839226063214,,,,,,,
14.0,0.8895810625128185,1.5417372390125998,1.3119529590540913,,,,,
15.0,0.7486303230005156,1.3219484142707512,1.1535642430630941,1.1454857947267343,1.1174736205663958,1.0693837634187733,1.0246525330667635,0.9970413380275541
16.0,0.6309583865740531,1.1531271336601525,1.0327553233554314,1.0322195647542949,1.0237999528253314,0.981717824317852,0.9523622286650546,0.9275188848392534
17.0,0.639296777343457,1.0426629526397546,0.940779511028552,0.9596418360533945,0.9542007682270989,0.9164658070885349,0.8899253245980662,0.8773016006307529
18.0,0.7032076213065562,0.9972870438963842,0.886234845251963,0.8943438118681024,0.8924969751898898,0.8591099081747886,0.8553099326707526,0.8434534188584926
19.0,0.7756292229100641,0.9694075148588798,0.8639443565723457,0.8731277280264272,0.8601029223113011,0.8288718451723653,0.8259200844564104,0.8150147226149191
20.0,0.8188127709411833,0.9588814536400355,0.8576109121191274,0.8417923254929173,0.8432795107918857,0.80295719148164,0.8108141359246375,0.8003324855625189
21.0,0.8924944424311644,0.9685356109724743,0.8531617424926705,0.8395462079500418,0.8302380895588007,0.7914333535842011,0.7999661440348174,0.7900229704794589
22.0,0.9815509126122693,0.9816957757701675,0.8520493924604117,0.8280056266739817,0.8213887949660741,0.784125001720021,0.7935661633064006,0.784193664826813
23.0,0.9951240826898207,1.0021471897522112,0.8560962143005456,0.8210496427892221,0.8174082541364462,0.7815521256986192,0.7919919908662851,0.783116304283463
24.0,,1.0093416810042966,0.850040417224231,0.8342802530761815,0.8192369232904201,0.7844398894267215,0.7859619992644861,0.7871999544129478
25.0,,1.0299312294404188,0.8707373303948799,0.8263747033973233,0.815331093134262,0.782637052662625,0.795639957307979,0.7878991327528886
26.0,,,,0.826604573743855,0.8189402998470732,0.7762457854935261,0.7917347820311861,0.7854114740309284
27.0,,,,,,0.7888560252352037,0.7946145932761758,0.7892411839744812
